fdc_id,description
319874,"hummus, sabra classic"
319877,hummus
319894,"hummus, other"
319906,hummus - nfy12140o
319907,hummus - nfy12140p
319915,hummus - nfy12140q
319916,hummus - nfy12140r
319917,hummus - nfy12140s
319918,hummus - nfy12140f
319919,hummus - nfy12140g
319920,"hummus, sabra classic - ca1, in"
319926,hummus - nfy12141c
319927,hummus - nfy12141d
319933,hummus - nfy12141e
319934,hummus - nfy12141f
319935,hummus - nfy12141g
319936,hummus - nfy12141h
319937,hummus - nfy121416
319938,"hummus, sabra classic - ga, nj"
319944,hummus - nfy1213zv
319945,hummus - nfy1213zw
319951,hummus - nfy1213zx
319952,hummus - nfy1213zy
319953,hummus - nfy1213zz
319954,hummus - nfy121400
319956,hummus - nfy1213zp
319957,"hummus, sabra classic - ky"
319958,"hummus, tribe classic"
319965,hummus - nfy12143c
319966,hummus - nfy12143d
319973,hummus - nfy12143e
319974,hummus - nfy12143f
319975,hummus - nfy12143g
319976,hummus - nfy121435
319977,"hummus, tribe classic - ga, nj"
319991,hummus - nfy12141w
319992,hummus - nfy12141x
319999,hummus - nfy12141y
320000,hummus - nfy12141z
320001,hummus - nfy121420
320002,hummus - nfy121421
320003,hummus - nfy12141p
320004,"hummus, tribe classic - ky, pa"
320011,hummus - nfy12142m
320012,hummus - nfy12142n
320018,hummus - nfy12142o
320019,hummus - nfy12142p
320020,hummus - nfy12142q
320021,hummus - nfy12142r
320022,hummus - nfy12142g
320023,"hummus, other - az, in"
320025,"milk, 2% (wave 22e)"
320027,"milk, 2%"
320353,"beef, eye of round roast/steak, lean only"
320354,"beef, eye of round roast, raw (er37-r-5)"
320355,"beef, eye of round steak, raw (es36-r-5)"
320356,"proximates, beef, eye of round roast/steak"
320357,"beef,  eye of round roast/steak, select"
320358,"beef, eye of round roast, raw (er37-r-10)"
320359,"beef, eye of round roast, raw (er37-r-11)"
320360,"beef, eye of round roast, raw (er37-r-16)"
320361,"beef, eye of round roast, raw (er37-r-17)"
320362,"beef, eye of round roast, raw (er37-r-18)"
320363,"beef, eye of round roast, raw (er37-r-22)"
320364,"beef, eye of round roast, raw (er37-r-23)"
320365,"beef, eye of round roast, raw (er37-r-28)"
320366,"beef, eye of round roast, raw (er37-r-29)"
320367,"beef, eye of round roast, raw (er37-r-35)"
320368,"beef, eye of round roast, raw (er37-r-36)"
320369,"beef, eye of round steak, raw (es36-r-10)"
320370,"beef, eye of round steak, raw (es36-r-11)"
320371,"beef, eye of round steak, raw (es36-r-16)"
320372,"beef, eye of round steak, raw (es36-r-17)"
320373,"beef, eye of round steak, raw (es36-r-18)"
320374,"beef, eye of round steak, raw (es36-r-22)"
320375,"beef, eye of round steak, raw (es36-r-23)"
320376,"beef, eye of round steak, raw (es36-r-28)"
320377,"beef, eye of round steak, raw (es36-r-29)"
320378,"beef, eye of round steak, raw (es36-r-35)"
320379,"beef, eye of round steak, raw (es36-r-36)"
320380,"se - beef,  eye of round roast/steak, select"
320381,"minerals - beef,  eye of round roast/steak, select"
320384,"beef, eye of round roast/steak, select"
320385,"b12 - beef, eye of round roast/steak, select"
320386,"fa - beef, eye of round roast/steak, select"
320387,"choles, fa - beef, eye of round roast/steak"
320413,"tomatoes, grape"
321358,"hummus, commercial"
321359,"milk, reduced fat, fluid"
321360,"tomatoes, grape, raw"
321361,"salt, morton, iodized"
321363,salt; iodized
321366,"salt, not iodized"
321372,"salt, iodized"
321373,"salt, great value, iodized"
321379,"salt, heb iodized"
321406,"salt, laura lynn, iodized"
321412,"salt, essential everyday, iodized"
321429,"salt, hy vee, iodized"
321458,"salt, signature kitchens, iodized"
321464,"salt, food club, iodized"
321473,"salt, iodized - nfy121s6f"
321474,"salt, iodized - nfy121s6g"
321475,"salt, shop rite, iodized"
321505,"salt, table, iodized"
321506,"beans, snap, canned"
321510,beans snap canned drained
321611,"beans, snap, green"
321612,"broccoli, raw (in1,ny1) - cy0906e"
321613,"broccoli, raw, 2 bunches (in1) - nfy0905dd"
321614,"broccoli, raw, 3 bunches (ny1) - nfy0905ev"
321615,"broccoli, raw, 3 bunches (in1) - nfy0905dc"
321616,"moisture, broccoli, raw (in1,ny1) - nfy0904j7"
321617,"vitamin c, broccoli, raw (in1,ny1) - nfy0904j9"
321618,"broccoli, cooked (in1,ny1) - cy0906k"
321619,"moisture, broccoli, cooked (in1,ny1) - nfy0904kj"
321620,"vitamin c, broccoli, cooked (in1,ny1) - nfy0904kk"
321621,"broccoli, raw (ca2,nc1) - cy0906g"
321622,"broccoli, raw, ocean mist"
321624,"broccoli, raw, 7 bunches (ca2) - nfy0905ja"
321626,"moisture, broccoli, raw (ca2,nc1) - nfy0904jn"
321627,"vitamin c, broccoli, raw (ca2,nc1) - nfy0904jo"
321628,"broccoli, cooked (ca2,nc1) - cy0906m"
321629,"moisture, broccoli, cooked (ca2,nc1) - nfy0904kz"
321630,"vitamin c, broccoli, cooked (ca2,nc1) - nfy0904l0"
321631,"broccoli, raw (al1,ca1) - cy0906f"
321632,"broccoli, raw, 4 bunches; product of usa (al1) - nfy0905hl"
321633,"broccoli, raw, 4 bunches (ca1) - nfy0905in"
321634,"broccoli, raw, 4 bunches; product of usa (al1) - nfy0905hk"
321635,"broccoli, raw, 4 bunches (ca1) - nfy0905im"
321636,"moisture, broccoli, raw (al1,ca1) - nfy0904jf"
321637,"vitamin c, broccoli, raw (al1,ca1) - nfy0904jg"
321638,"broccoli, cooked (al1,ca1) - cy0906l"
321639,"moisture, broccoli, cooked (al1,ca1) - nfy0904kr"
321640,"vitamin c, broccoli, cooked (al1,ca1) - nfy0904ks"
321641,"broccoli, raw (co2,ct1) - cy0906h"
321642,"broccoli, raw, 1 bunch (ct1) - nfy0905ek"
