id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
2201847,319877,1051,56.3,1.0,1.0,,,,,
2201846,319877,1004,19.0,1.0,1.0,,,,,
2201854,319878,1093,446.0,1.0,1.0,,,,,
2201860,319882,1051,56.1,1.0,1.0,,,,,
2201859,319882,1004,18.7,1.0,1.0,,,,,
2201862,319884,1093,444.0,1.0,1.0,,,,,
2201874,319892,1051,58.2,1.0,1.0,,,,,
2201873,319892,1004,16.6,1.0,1.0,,,,,
2201880,319893,1093,387.0,1.0,1.0,,,,,
2201887,319899,1051,57.6,1.0,1.0,,,,,
2201886,319899,1004,19.1,1.0,1.0,,,,,
2201895,319900,1093,489.0,1.0,1.0,,,,,
2201942,319908,1004,18.2,1.0,1.0,,,,,
2201943,319908,1051,56.8,1.0,1.0,,,,,
2201953,319912,1093,428.0,1.0,1.0,,,,,
2202021,319928,1051,57.3,1.0,1.0,,,,,
2202020,319928,1004,18.0,1.0,1.0,,,,,
2202024,319930,1093,406.0,1.0,1.0,,,,,
2202097,319946,1004,18.2,1.0,1.0,,,,,
2202098,319946,1051,57.2,1.0,1.0,,,,,
2202101,319948,1093,423.0,1.0,1.0,,,,,
2202178,319967,1004,14.8,1.0,1.0,,,,,
2202179,319967,1051,60.6,1.0,1.0,,,,,
2202183,319970,1093,450.0,1.0,1.0,,,,,
2202207,319981,1004,11.9,1.0,1.0,,,,,
2202208,319981,1051,65.6,1.0,1.0,,,,,
2202216,319983,1093,440.0,1.0,1.0,,,,,
2202264,319993,1004,15.2,1.0,1.0,,,,,
2202265,319993,1051,60.5,1.0,1.0,,,,,
2202270,319996,1093,452.0,1.0,1.0,,,,,
2202342,320013,1004,18.8,1.0,1.0,,,,,
2202343,320013,1051,59.3,1.0,1.0,,,,,
2202347,320015,1093,457.0,1.0,1.0,,,,,
2202491,320027,1004,1.8,1.0,1.0,,,,,
2202492,320027,1051,89.1,1.0,1.0,,,,,
2202500,320033,1004,1.91,1.0,1.0,,,,,
2202501,320033,1051,88.4,1.0,1.0,,,,,
2202509,320039,1004,1.92,1.0,1.0,,,,,
2202510,320039,1051,89.0,1.0,1.0,,,,,
2202594,320047,1051,88.9,1.0,1.0,,,,,
2202593,320047,1004,1.92,1.0,1.0,,,,,
2202607,320050,1093,42.0,1.0,1.0,,,,,
2202701,320066,1004,1.91,1.0,1.0,,,,,
2202702,320066,1051,89.8,1.0,1.0,,,,,
2202742,320072,1093,36.0,1.0,1.0,,,,,
2202838,320089,1051,90.7,1.0,1.0,,,,,
2202837,320089,1004,1.97,1.0,1.0,,,,,
2202851,320092,1093,38.0,1.0,1.0,,,,,
2202945,320108,1004,1.87,1.0,1.0,,,,,
2202946,320108,1051,88.2,1.0,1.0,,,,,
2202959,320111,1093,46.0,1.0,1.0,,,,,
2203055,320128,1051,89.3,1.0,1.0,,,,,
2203054,320128,1004,1.85,1.0,1.0,,,,,
2203068,320131,1093,41.0,1.0,1.0,,,,,
2203162,320147,1004,2.06,1.0,1.0,,,,,
2203163,320147,1051,89.4,1.0,1.0,,,,,
2203203,320153,1093,37.0,1.0,1.0,,,,,
2203222,320167,1004,1.9,1.0,1.0,,,,,
2203223,320167,1051,88.6,1.0,1.0,,,,,
2203232,320174,1004,1.9,1.0,1.0,,,,,
2203233,320174,1051,89.0,1.0,1.0,,,,,
2203242,320181,1004,1.97,1.0,1.0,,,,,
2203243,320181,1051,88.0,1.0,1.0,,,,,
2203252,320187,1051,89.0,1.0,1.0,,,,,
2203251,320187,1004,1.96,1.0,1.0,,,,,
2203261,320193,1051,88.8,1.0,1.0,,,,,
2203260,320193,1004,1.87,1.0,1.0,,,,,
2203270,320199,1051,89.5,1.0,1.0,,,,,
2203269,320199,1004,1.92,1.0,1.0,,,,,
2203278,320205,1004,1.81,1.0,1.0,,,,,
2203279,320205,1051,89.2,1.0,1.0,,,,,
2203363,320214,1004,1.68,1.0,1.0,,,,,
2203364,320214,1051,89.4,1.0,1.0,,,,,
2203377,320217,1093,37.0,1.0,1.0,,,,,
2203472,320234,1004,1.87,1.0,1.0,,,,,
2203473,320234,1051,89.1,1.0,1.0,,,,,
2203513,320240,1093,37.0,1.0,1.0,,,,,
2203609,320257,1051,89.5,1.0,1.0,,,,,
2203608,320257,1004,1.81,1.0,1.0,,,,,
2203649,320263,1093,38.0,1.0,1.0,,,,,
2203744,320279,1051,89.0,1.0,1.0,,,,,
2203743,320279,1004,1.93,1.0,1.0,,,,,
2203784,320285,1093,38.0,1.0,1.0,,,,,
2203805,320300,1051,88.7,1.0,1.0,,,,,
2203804,320300,1004,1.97,1.0,1.0,,,,,
2203840,320309,1004,1.94,1.0,1.0,,,,,
2203841,320309,1051,89.1,1.0,1.0,,,,,
2203925,320317,1051,89.2,1.0,1.0,,,,,
