simplified_description,Protein (g),Total Fat (g),Carbs (g),Water (g),Sodium (mg),Sugar (g)
 Egg whites,,,,,143.9375,
" Egg whites, dried",,,,,1250.6666666666667,
 Egg yolk,,,,,65.86666666666666,
" Egg yolks, dried",,,,,146.88888888888889,
 Whole eggs,,,,,121.42857142857143,
" Whole eggs, dried",,,,,463.625,
"ALMOND MILK, UNSWEETENED, PLAIN",,1.22125,,97.39875,59.582142857142856,
"APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C, SHELF STABLE",,0.28625,,88.139375,4.871875,
"APPLES, FUJI",,0.1625,,83.625,1.0,
"APPLES, FUJI, WITH SKIN",,0.1625,,83.614375,1.0125,13.33125
"APPLES, GALA",,0.15000000000000002,,84.6375,0.25,
"APPLES, GALA, WITH SKIN",,0.15000000000000002,,84.64625,0.27875,11.83375
"APPLES, GRANNY SMITH",,0.1375,,85.1375,0.0,
"APPLES, GRANNY SMITH, WITH SKIN",,0.1375,,85.135625,0.0,10.65125
"APPLES, HONEYCRISP",,0.1,,85.025,0.125,
"APPLES, HONEYCRISP, WITH SKIN",,0.1,,85.0325,0.1375,12.3675
"APPLES, RED DELICIOUS",,0.2125,,84.66250000000001,0.0,
"APPLES, RED DELICIOUS, WITH SKIN",,0.2125,,84.665,0.0,12.220625
"Almond butter, creamy",20.78734,53.04,21.23666,1.751,0.9963,
"Almond milk, unsweetened, plain",0.5885416666666666,1.3333333333333333,0.4483249999999999,97.10666666666667,59.46,
Almonds dry roasted salted,,57.74615384615385,,2.2046153846153844,255.46153846153845,
American Cheese,,31.133333333333333,,39.407407407407405,1588.1818181818182,
American cheese,,31.127586206896552,,39.59310344827586,1626.9565217391305,
"American pasteurized prepared cheese product, with added vitamin D, sliced",,22.3425,,45.2425,1432.5,
"American pasteurized process cheese food, sliced, individually wrapped",,27.185000000000002,,42.995000000000005,1425.0,
"American pasteurized process cheese food, with added vitamin D, sliced",,22.44,,46.48,1480.0,
"American pasteurized process cheese product, sliced, individually wrapped",,24.7,,44.77,1300.0,
"Apple juice, with added vitamin C, from concentrate",0.0859375,0.2863,11.3639625,88.14,4.872,
"Apples, fuji, with skin",0.14921875,0.16125,15.67558125,83.60499999999999,1.0065,13.33
"Apples, gala, with skin",0.13140625,0.15,14.78404375,84.625,0.1394,11.83
"Apples, granny smith, with skin",0.2678125,0.13875,14.1714875,85.12,0.0,10.65
"Apples, honeycrisp, with skin",0.10078125,0.1,14.69096875,85.015,0.06875,12.37
"Apples, red delicious, with skin",0.18875,0.21125,14.79085,84.685,0.0,12.22
"Applesauce, unsweetened, with added vitamin C",0.2734375,0.1625,12.2615625,87.1,0.5038,
"BANANAS, OVERRIPE",,0.22333333333333336,,,,
"BANANAS, RIPE",,0.21833333333333335,,,0.0,
"BANANAS, SLIGHTLY RIPE",,0.36833333333333335,,,,
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",,28.599999999999998,,53.76666666666667,790.0,
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",,32.5,,49.3,784.0,
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",,27.366666666666664,,49.8,1020.0,
