id,fdc_id,nutrient_id,amount
2201847,319877,1051,56.3
2201846,319877,1004,19.0
2201854,319878,1093,446.0
2201860,319882,1051,56.1
2201859,319882,1004,18.7
2201862,319884,1093,444.0
2201874,319892,1051,58.2
2201873,319892,1004,16.6
2201880,319893,1093,387.0
2201887,319899,1051,57.6
2201886,319899,1004,19.1
2201895,319900,1093,489.0
2201942,319908,1004,18.2
2201943,319908,1051,56.8
2201953,319912,1093,428.0
2202021,319928,1051,57.3
2202020,319928,1004,18.0
2202024,319930,1093,406.0
2202097,319946,1004,18.2
2202098,319946,1051,57.2
2202101,319948,1093,423.0
2202178,319967,1004,14.8
2202179,319967,1051,60.6
2202183,319970,1093,450.0
2202207,319981,1004,11.9
2202208,319981,1051,65.6
2202216,319983,1093,440.0
2202264,319993,1004,15.2
2202265,319993,1051,60.5
2202270,319996,1093,452.0
2202342,320013,1004,18.8
2202343,320013,1051,59.3
2202347,320015,1093,457.0
2202491,320027,1004,1.8
2202492,320027,1051,89.1
2202500,320033,1004,1.91
2202501,320033,1051,88.4
2202509,320039,1004,1.92
2202510,320039,1051,89.0
2202594,320047,1051,88.9
2202593,320047,1004,1.92
2202607,320050,1093,42.0
2202701,320066,1004,1.91
2202702,320066,1051,89.8
2202742,320072,1093,36.0
2202838,320089,1051,90.7
2202837,320089,1004,1.97
2202851,320092,1093,38.0
2202945,320108,1004,1.87
2202946,320108,1051,88.2
2202959,320111,1093,46.0
2203055,320128,1051,89.3
2203054,320128,1004,1.85
2203068,320131,1093,41.0
2203162,320147,1004,2.06
2203163,320147,1051,89.4
2203203,320153,1093,37.0
2203222,320167,1004,1.9
2203223,320167,1051,88.6
2203232,320174,1004,1.9
2203233,320174,1051,89.0
2203242,320181,1004,1.97
2203243,320181,1051,88.0
2203252,320187,1051,89.0
2203251,320187,1004,1.96
2203261,320193,1051,88.8
2203260,320193,1004,1.87
2203270,320199,1051,89.5
2203269,320199,1004,1.92
2203278,320205,1004,1.81
2203279,320205,1051,89.2
2203363,320214,1004,1.68
2203364,320214,1051,89.4
2203377,320217,1093,37.0
2203472,320234,1004,1.87
2203473,320234,1051,89.1
2203513,320240,1093,37.0
2203609,320257,1051,89.5
2203608,320257,1004,1.81
2203649,320263,1093,38.0
2203744,320279,1051,89.0
2203743,320279,1004,1.93
2203784,320285,1093,38.0
2203805,320300,1051,88.7
2203804,320300,1004,1.97
2203840,320309,1004,1.94
2203841,320309,1051,89.1
2203925,320317,1051,89.2
2203924,320317,1004,1.92
2203938,320320,1093,38.0
2204033,320336,1051,89.3
2204032,320336,1004,1.97
2204046,320339,1093,39.0
2204225,320356,1051,73.8
2204222,320356,1004,3.46
2204224,320356,1003,23.4
2204232,320381,1093,50.0
2204239,320383,1051,73.4
2204236,320383,1004,1.91
2204238,320383,1003,23.9
2204272,320389,1003,23.5
2204273,320389,1051,73.2
2204270,320389,1004,2.81
2204276,320391,1003,23.8
2204274,320391,1004,2.07
2204277,320391,1051,73.3
2204281,320393,1051,71.6
2204280,320393,1003,23.8
2204278,320393,1004,3.3
2204285,320395,1051,73.1
2204282,320395,1004,2.24
2204284,320395,1003,24.0
2204335,320401,1051,74.6
2204334,320401,1003,23.9
2204336,320401,1004,3.01
2204340,320403,1003,23.3
2204341,320403,1051,74.1
2204338,320403,1004,3.45
2204342,320405,1004,1.98
2204344,320405,1003,22.9
2204345,320405,1051,74.7
2204346,320407,1004,2.27
2204349,320407,1051,73.6
2204348,320407,1003,23.3
2204352,320409,1003,22.7
2204353,320409,1051,74.7
2204350,320409,1004,1.47
2204356,320411,1003,22.6
2204357,320411,1051,74.2
2204354,320411,1004,1.74
2204423,320416,1051,92.8
2204425,320421,1051,90.9
2204427,320426,1051,92.4
2204429,320431,1051,92.9
2204431,320436,1051,93.0
2204433,320441,1051,91.6
2204436,320448,1004,0.7
2204437,320448,1051,93.0
2204453,320450,1093,6.0
2204456,320456,1004,0.6
2204457,320456,1051,92.7
2204477,320459,1093,4.0
2204480,320465,1004,0.5
2204481,320465,1051,93.6
2204509,320469,1093,5.0
2204519,320478,1051,92.0
2204522,320483,1004,0.46
2204523,320483,1051,93.4
2204532,320484,1093,7.0
2204534,320487,1051,92.5
2204536,320492,1051,93.3
2204538,320497,1051,92.6
2204542,320502,1051,92.7
2204541,320502,1004,0.82
2204551,320503,1093,3.0
2204553,320505,1051,91.0
2204555,320510,1051,91.5
2204558,320517,1004,0.69
2204559,320517,1051,92.6
2204587,320521,1093,10.0
2219792,321358,1051,58.7
2219740,321358,1003,7.35
2219751,321358,1093,438.0
2219786,321358,1004,17.1
2219787,321358,1005,14.9
2219880,321359,1005,4.91
2219914,321359,1004,1.9
2219829,321359,1003,3.35
2219919,321359,1093,39.0
2219913,321359,1051,89.1
2219983,321360,1051,92.5
2220032,321360,1005,5.51
2220031,321360,1003,0.83
2220002,321360,1093,6.0
2219986,321360,1004,0.63
2220045,321365,1093,37200.0
2220047,321366,1051,0.0
2220057,321371,1093,38900.0
2220059,321372,1051,0.0
2220069,321377,1093,38100.0
2220071,321378,1051,0.92
2220081,321383,1093,37300.0
2220091,321388,1093,38600.0
2220101,321393,1093,37700.0
2220111,321398,1093,40100.0
2220113,321399,1051,1.05
2220123,321404,1093,38400.0
2220125,321405,1051,0.0
2220135,321410,1093,39500.0
2220137,321411,1051,0.65
2220147,321416,1093,38100.0
2220157,321421,1093,38300.0
2220159,321422,1051,0.0
2220169,321427,1093,40300.0
2220171,321428,1051,0.65
2220181,321433,1093,39100.0
2220183,321434,1051,1.0
2220193,321439,1093,39400.0
2220195,321440,1051,0.0
2220205,321445,1093,39000.0
2220215,321450,1093,38000.0
2220217,321451,1051,0.62
2220227,321456,1093,38400.0
2220229,321457,1051,0.86
2220239,321462,1093,38200.0
2220241,321463,1051,0.84
2220252,321469,1093,40700.0
2220254,321470,1051,0.69
2220256,321471,1051,0.0
2220258,321472,1051,0.0
2220260,321473,1051,0.09
2220271,321479,1093,37200.0
2220273,321480,1051,0.61
2220283,321485,1093,38200.0
2220285,321486,1051,0.0
2220295,321491,1093,39000.0
2220297,321492,1051,0.0
2220307,321497,1093,38600.0
2220309,321498,1051,0.0
2220319,321503,1093,39600.0
2220321,321504,1051,0.64
2220329,321505,1051,0.42
2220325,321505,1093,38700.0
2220341,321510,1093,319.0
2220345,321511,1051,93.0
2220344,321511,1004,0.43
2220354,321519,1093,327.0
2220357,321520,1004,0.38
2220358,321520,1051,93.1
2220367,321525,1093,315.0
2220370,321526,1004,0.43
2220371,321526,1051,93.3
2220386,321535,1093,328.0
2220389,321536,1004,0.3
2220390,321536,1051,93.9
2220405,321545,1093,301.0
2220409,321546,1051,93.2
2220408,321546,1004,0.43
2220418,321554,1093,319.0
2220422,321555,1051,93.1
2220421,321555,1004,0.38
2220437,321564,1093,234.0
2220440,321565,1004,0.35
2220441,321565,1051,94.1
2220450,321570,1093,309.0
2220454,321571,1051,94.2
2220453,321571,1004,0.38
2220469,321580,1093,183.0
2220473,321581,1051,93.5
2220472,321581,1004,0.47
2220482,321589,1093,237.0
2220485,321590,1004,0.41
2220486,321590,1051,93.4
2220495,321598,1093,263.0
2220499,321599,1051,94.0
2220498,321599,1004,0.39
2220514,321608,1093,243.0
2220518,321609,1051,93.8
2220517,321609,1004,0.37
2220528,321611,1051,93.6
2220532,321611,1005,4.11
2220531,321611,1004,0.39
2220543,321611,1003,1.04
2220538,321611,1093,282.0
2220550,321616,1051,89.0
2220552,321619,1051,89.2
2220554,321626,1051,88.1
2220556,321629,1051,88.2
2220558,321636,1051,87.3
2220560,321639,1051,87.9
2220562,321646,1051,88.8
2220564,321649,1051,88.9
2220582,321660,1051,90.1
2220584,321660,1004,0.38
2220589,321661,1093,28.0
2220614,321673,1051,90.4
2220616,321673,1004,0.41
2220628,321682,1051,90.2
2220627,321682,1004,0.37
2220728,321706,1004,0.36
2220726,321706,1051,91.1
2220734,321709,1004,0.22
2220732,321709,1051,91.1
2220742,321710,1093,37.0
