id,recipe_name,instructions,notes,spice,temp,likes,dislikes,aroma,taste,texture,plantBased,gf,vegan,made,energy,cook_time,prep_time,servings
1,Carrot Soup,"Melt butter in a heavy bottomed pot. + Add onions and thyme sprig. + Cook over medium-low heat until tender, about 10 minutes. Add carrots. + Season with salt. + Cook for 5 minutes. Cooking the carrots with the onions for a while builds flavor. + Add broth. Bring to a boil, lower the heat, and simmer until the carrots are tender, about 30 minutes. When done, season with salt to taste, and purée if desired. ","For lighter, simpler soup, skip preliminary cooking and add onions and carrots directly to broth. + Garnish with whipped cream or creme fraiche seasoned with salt, pepper and chopped herbs (eg chervil, chives, tarragon). + Add 1/4 cup basmati rice with the carrots, use water instead of broth, add 1 cup plain yogurt just before pureeing and garnish with mint. + Cook a jalapeno pepper with the onions, add some cilantro before pureeing and garnish with chopped cilantro. + Toast cumin seeds in clarified butter or olive oil and use to garnish soup.",0,0,0,0,,,,0,1,1,0,,,,
2,Pasta and Meatballs,"In a large bowl, gently combine all meatball ingredients. Roll into 1½-inch balls. Transfer to a baking sheet. + Broil until golden and firm, 7 to 10 minutes. Or fry in oil until deeply browned all over. Sprinkle with more salt before serving. + Meanwhile, cook pasta and prepare/heat sauce. +Combine and serve.",,0,1,0,0,,,,0,0,0,0,,20,15,4
3,Vegetarian Meatballs,"Heat oven to 375 degrees. Bring ¼ cup water to a boil in a small saucepan. Add the bulgur, remove from heat, cover and let sit until tender, about 15 minutes. Drain, pressing to remove excess water, then let cool. + Prepare the coating: In a shallow bowl, combine the oil, ½ cup bread crumbs and ¼ cup Parmesan; mix until well blended and crumbly. Set aside. + Prepare the meatballs: In a food processor, pulse garlic until finely chopped. Add mushrooms, and pulse until chopped, with pea-size pieces remaining (do not purée). Transfer to a large bowl. Add the chickpeas to the food processor, pulse, then add them to the mushrooms. Add the remaining ⅓ cup breadcrumbs and ¼ cup Parmesan, plus the bulgur, egg, ricotta, fennel seeds, oregano, salt, pepper and 1 tablespoon water; mix until well blended. + Form the meatball mixture into 1½-inch meatballs (you should have about 24). Roll meatballs in the coating, pressing gently to adhere, then arrange on a greased baking sheet. Bake, turning halfway through, until golden, 18 to 20 minutes. Serve with marinara sauce, for dipping.",Serve with pasta and sauce.,0,1,0,0,,,,1,0,0,0,,20,30,6
4,Chickpea Saute with Greek Yogurt,"Drain the chickpeas in a colander and set aside. + Chop the mint and cilantro, crush the garlic and juice the lemon. Set aside in a separate bowl. + Heat a large, heavy saucepan. Add the ¼ c. olive oil. Add the carrots and sauté for 5-7 minutes over a medium heat, or until the carrots become tender. + Add the spinach and chickpeas and cook for 5 more minutes. + Add the mint, garlic, lemon and salt and pepper to taste. Remove from heat, transfer to a bowl or plate and cool down a little. + To serve, mix together the yogurt and ½ T. olive oil. Put the vegetable and chickpea in the bowl/plate. Spoon the yogurt mixture on top.","If using Swiss chard, the stems and leaves need to cook for different times. Remove the stems from the leaves. The recipe calls for blanching the stems in salted boiling water for 3 minutes, running under cold water, ringing dry, and chopping. You could also slice and add to the pan when you add the carrots, then add the sliced leaves when the instructions below call for adding the spinach.",0,1,0,0,,,,1,1,0,0,,20,10,3
5,Kale Salad,"Combine the kale, almonds, apple and Cheddar in a large bowl. + Whisk together the lemon juice, salt, garlic and olive oil. Add to the salad, and toss well. Sprinkle the Parmesan over the top, and serve.",This salad benefits from tossing with the dressing about 15 minutes before you serve it. The kale will soften in the dressing.,0,0,0,0,,,,1,1,1,0,,,,
6,Fruit Gallette,"For the dough: Mix the flour and salt. Cut or work the butter into the flour with a pastry blender or your fingertips, leaving some of the butter in fairly large, irregular pieces. This will take 1 or 2 minutes. (or mix for no more than a minute, ad medium-low speed, in a stand mixer fitted with the paddle attachment.) Pour in three quarters of the water, stirring all the while with a fork until the dough begins to form clumps. (In the mixer, turn the speed to low and pour the water down the sides of the bowl, mixing for 30 seconds or less.) Keep adding water if needed. Bring together into a ball, and wrap in plastic. Compress the ball, and then flatten it into a disk. Let rest, refrigerated for 1 hour or longer. + Heat the oven to 400 degrees. Roll the dough out to a 12-inch round (it can be ragged). Transfer to a rimmed baking sheet lined with parchment paper and chill while preparing the filling.+ Toss together fruit, all but a tablespoon of sugar, the salt, the lemon juice and zest, and the cornstarch. Use more cornstarch for juicy stone fruit and less for blueberries, raspberries and figs. Pile fruit on the dough circle, leaving a 1½-inch border. Gently fold the pastry over the fruit, pleating to hold it in (sloppy is fine). Brush pastry generously with leftover egg and cream mixture. Sprinkle remaining sugar on the crust. + Bake for 35 to 45 minutes, until the filling bubbles up vigorously and the crust is golden. Cool for at least 20 minutes on wire rack. Serve warm or at room temperature.",,0,1,0,0,,,,1,0,0,0,,45,105,4
7,Winter Squash Risotto with Sage,"Peel, clean and dice the squash into about a 3/4” dice. + Put the squash into a heavy-bottom saucepan with 1-2 whole sage leaves, about an 1/8 teaspoon salt, 6-8 grinds pepper, and enough water just to cover the squash (you are not filling up the saucepan). Cook 15 minutes at a low simmer, until tender but not too soft. You will still have water left in the pan. Once the squash is cooked to your liking, take off the heat and reserve the liquid to add to your risotto. + If your stock is cold, add it to a saucepan, bring and hold at simmer until you are ready to add it to your rice. + Meanwhile, cut the remaining sage leaves and cut your onion in a 1/2” dice. + In a heavy bottom saucepan, heat 1.5 tbs of butter over medium heat. Add the chopped sage and the onion and continue to cook over medium heat until it is translucent, about two to three minutes. + Add your rice and a pinch of salt and cook over medium heat about three minutes, stirring often until the rice has turned slightly opaque. + Add the white wine and cook about 1 and a half minutes, until the liquid has evaporated. + Turn up the heat and add 1 cup warmed stock to the rice. Stir well, and reduce the heat. Cook for about 5-6 minutes, until stock is mostly absorbed into the rice. + Keep the rice at a gentle simmer (should see small bubbles around the edge of the pan) and continue to add more stock, a 1/2 cup or so at a time as the rice thickens, letting each addition become absorbed by the rice. Do not let the rice dry out. Each addition of stock should take about three to four minutes to cook off. If it is taking significantly less, lower your heat. If it is taking significantly more, raise the heat. + Cook until the rice is tender but still has a firm core. The final addition of liquid is the most important: add just enough to finish cooking the rice without leaving it soupy. + Stir in the cooked squash, 1/2 cup of the reserved squash liquid, 1 tablespoon of butter, and the cheese. + Continue cooking for a few more minutes until most of the liquid has been absorbed, but risotto can still slide easily in the pan. Taste for seasoning and adjust as needed, and add another splash of squash cooking liquid if the rice is too thick.","Red wine or beer may also be substituted for the white wine. + Rosemary or thyme can also be used. + A pinch of saffron can be added to the cooking onions. + Other veggies can be added instead of squash, just make sure to cook them separately.",0,0,0,0,,,,1,1,0,0,,,,
8,Cheese Omlette,"Crack eggs into a large bowl. + Add: parsley, herbs, and a few grinds of black pepper and beat lightly, until just combined.  When ready to cook, season the eggs with salt. + Preheat a large (12-inch) heavy or nonstick pan for 3 to 5 minutes over medium-low heat. When the pan is completely heated, put in butter. + When the foaming butter begins to subside, pour in the eggs. Turn the heat up to medium. Pull the sides towards the center, letting uncooked egg flow onto the exposed pan. When the eggs have set on the bottom, continue lifting the edges and tilting the pan to allow uncooked egg to flow under to cook. When most of the egg is set, sprinkle cheese over the top. + Cook for a moment to heat the cheese. Fold the omelet in halfover itself and slide onto a large plate. Rub the top with a bit of butter and serve.",Substitue 4 ounces ricotta cheese for the Gruỳere or cheddar. +  Omit the herbs. +  Make 4 individual omlets with 2 or 3 eggs each.,0,0,0,0,,,,0,1,0,0,,,,
9,Freestyle Frittata,"First, preheat your oven to 350°F. Heat 3 tablespoons of olive oil in an 10"" oven-safe skillet over medium-high heat. Add diced onions. Cook, stirring occasionally, until softened, about 5 minutes. Meanwhile, whisk eggs in a medium bowl with milk, salt, and pepper. To customize, choose one or more of the additions above. + Pour the egg mixture and any additions into your skillet, stir, and cook just until edges start to firm up and pull away from the pan. This will take 5 to 7 minutes. Transfer skillet to oven1 and bake until set, 16 to 18 minutes. Then enjoy!","You should not put your skillet in the oven if it is Teflon or has a rubber handle. If you can’t finish your frittata in the oven, you can flip it to finish the other side. + Beat the eggs only enough to blend the whites and yolks. Overbeating will cause the frittata to poof in the oven, then fall into a denser layer when cooling. + While just about anything can be stirred into the egg base, you should stick to ingredients that are already cooked. For anything with excess moisture, such as sautéed greens, be sure to squeeze out any liquid first.",0,1,0,0,,,,1,1,0,0,,35,5,4
10,Hummus,"Soak dried chickpeas for 8 hours or over night. + Drain and cook in plenty of water until quite tender, 1 to 2 hours. Drain the cooked beans, reserving 1/4 cup of the cooking liquid. Purré with a food mill or in a food processor or blender. +  Stir in tahini, lemon juice, garlic, olive oil, and salt. + Mix until smooth, adding some of the cooking liquid if needed. ","Stir in ¼ teaspoon ground cumin and cayenne to taste. + Garnish with a drizzle of olive oil that has been mixed with ground cumin and cayenne. + For very smooth hummus, peel the chickpeas after they're cooked.",0,0,0,0,,,,1,1,1,0,,,,
